Rent,Neigh,latitude,longitude,Type,Zest,ROI,BPB
199.0,Neigh_North,37.35243,-122.02271999999999,Townhouse,1947121.0,-0.9625716886582726,4
150.0,Neigh_North,37.4123,-122.09573999999999,Townhouse,1986875.0,-0.9723521852073773,5
170.0,Neigh_North,37.397040000000004,-122.06453,Condominium,2100752.0,-0.9703643652598827,4
260.0,Neigh_North,37.39441,-122.08858000000001,Condominium,2128175.0,-0.9552589565420013,3
217.0,Neigh_North,37.40508,-122.10388999999999,Condominium,2281876.0,-0.9651736635777113,4
264.0,Neigh_North,37.41689,-122.13152,Condominium,2766646.0,-0.9650545665949594,6
139.0,Neigh_North,37.37293,-122.11185,Condominium,2832302.0,-0.9820272166592479,2
195.0,Neigh_North,37.451840000000004,-122.15853999999999,Condominium,2893838.0,-0.9753225378818996,4
264.0,Neigh_North,37.41713,-122.13054,Condominium,2939553.0,-0.9671100866191826,6
294.0,Neigh_North,37.44766,-122.16328999999999,Condominium,3249563.0,-0.9668668698063277,5
157.0,Neigh_North,37.391890000000004,-122.01257,Condominium,5075000.0,-0.9886706836564514,4

